회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,교육지원청,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,교육장,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,김재환,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,서울특별시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,감사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,말씀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,미리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,배부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,발췌,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,양해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,순서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,과로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,초등학교,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,평생교육,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,교습,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,외교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,습자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,소가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,예산,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,개축,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,급식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,나눔,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,정착,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,교육과정,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,복지,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,자치구,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,구현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,다문화,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,밀집,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,부스,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,활성화,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,창구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,일원화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,학교폭력,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,교사,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,조성하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,더욱,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,실정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,대응,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,부서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,협업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,증대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,실질,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,함양,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,밀착,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,프로젝트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,초등교육,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),남부교육지원청교육장 김재환,지성,1.0
