회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,노사,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,허일,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,임금,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,교섭,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,직종,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,복지,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,사나,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,영어,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,회화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,지도자,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,이분,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,보충,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,수요일,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,이기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,부적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,답변,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,조합원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,고용노동부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,시간제,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,마찬가지,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,지난번,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,날짜,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,단체교섭,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,아마,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,지난주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,월요일,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,말씀,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,로서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,한번,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,개별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,라면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,문제기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,별로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,초등교육,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,장소,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,부서,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,주무관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,테이블,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,드릴,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,천막,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,금년,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,나머지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,교무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),노사협력담당관 허일만,원사,1.0
