회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,김현철,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,부위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,비롯,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,드림,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,순서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,예산,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,팀별,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,보고서,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,형성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,공보,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,명의,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,보도자료,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,소셜미디어,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,공익,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,광고,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,촬영,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,팟캐스트,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,다각,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,언론보도,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,수가,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,콘텐츠,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,뉴스레터,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,신자,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,교직원,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,주력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,한계,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,불구,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,구성원,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,마인드,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,인프라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,생산,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,미흡,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,지원청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,직접,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,사후관리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,부서,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,고하,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,매체,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,문관,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,계층,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,유관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,협업,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,이해도,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,동력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,주간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,사단,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,프로세스,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,네트워크,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,교육지원청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,자단,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,활성화,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,건수,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,긍정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,증대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,정례,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,간담,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,유도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,기관지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,웹진,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,발행,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,포스터,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,음성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,지면,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,라디오방송,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,포털,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대변인 김현철,검색,1.0
