회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교육지원청,31.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교육장,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,박혜자,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,부위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,소개,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,간부,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,성철,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,김원식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,윤호상,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,최성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,태빈,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,선희,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,북부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,서경수,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,양주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,중부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,성남,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,강동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,송파,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,호규,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,최웅,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,강서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,양천,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,김우경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,임광,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,강남,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,서초,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,김장수,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,선우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,순애,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,동작,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,관악,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,상숙,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,한창화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,광진,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,김홍,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,임찬식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,성북,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,강북,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,유석,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,순서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,명의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,비롯,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,초등학교,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,평생교육,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교습,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,외교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,습자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,소가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,예산,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,학교폭력,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,초기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,대응,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,인성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,고충,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,시점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,수동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,존재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,활성화,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,복지,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,함양,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교육과정,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,융합,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,동아리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,나눔,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,코칭,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,실화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육장 박혜자,교직원,1.0
