회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,선서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,본인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,지방자치법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,소관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,감사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,양심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,보탬,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,그대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,거짓,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,위증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,맹세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,교육지원청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),동부교육지원청교육지원국장 성철,성철,1.0
