회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,마포평생학습관,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,이숙자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,모시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,평생,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,습관,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,관장,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,고덕평생학습관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,영경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,노원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,황현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,영등포,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,박근석,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,참고,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,평생교육,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,가능성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,설정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,생애,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,기별,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,소외,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,계층,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,학업,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,문해,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,실화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,비문,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,어르신,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,푸른,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,수영장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,초등학교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,체력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,증진,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,성인,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,수영,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,헬스,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,리더,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,학부모,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,실버,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,정보화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,협업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,활성화,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),마포평생학습관장 이숙자,종사,1.0
