회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,정영철,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,보시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,역효과,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,슬럼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,가속,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,심리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,불안도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,존재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,취지,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,왜곡,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,중도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,입국,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,한국어,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,습득,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,저하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,장점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,불구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,중국어,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,중국인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,완화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,특정,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,과밀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,다문화,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,부적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,분산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,맥락,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,주시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,문제점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,보완,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,자치구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,별로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,금천구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,구로구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,구가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,차지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),민주시민생활교육과장 정영철,이중,1.0
