회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,관실,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,기구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,축소,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,조실,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,얘기,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,리스트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,추진단,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,별로,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,그게,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,총괄,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,감사,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,제적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,측면,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,한계,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,패널,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,입법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,직전,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,청렴,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,상위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,가나다라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,나머지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,방금,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,정회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,병주,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,말씀,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,부서,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,주어,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,아마,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,정해,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,분장,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,정리,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,전문직,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,차이,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,교육부,20.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,마찬가지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,분과,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,접근,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,하여튼,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,창구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,글쎄,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,부서장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,직접,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보좌,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,위임,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,전결,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,최대한,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,협업,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,주로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,조율,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,무과,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,직문,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,직장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,더욱,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,통상,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,자세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,직언,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,각국,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,파견,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,재외동포,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,영어,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,성적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,면접,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,교사,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,비중,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,외국,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,해이해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보완,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,국내,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,복귀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,글쎄요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,배경,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,맥락,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,인헌,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,장학,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,심층,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,면담,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,객관,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,중립,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,관점,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,출발,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,선입견,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,한번,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,소관,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,중간,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,보도자료,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,예산,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,경비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,목록,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,적절,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,주인,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,견제,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부교육감 김원찬,조례,3.0
