회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,그날,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부임,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,성범죄자,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,알림,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,반경,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,내의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,조회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,답변,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,수행,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,학부모,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,총회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부모님,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,거기,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,검색,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,주시,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,교사,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,건가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,교직원,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부석,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,장안,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,강서구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,리가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,초등학교,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,광진구,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,야간,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,주간,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,정문,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,더하기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,중간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,구성원,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,개폐,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,말씀,39.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,현주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,청원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,서명,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,명의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,병주,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,의원님,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,서도,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,그거,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,명부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,명시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,유튜브,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,장면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,오해,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,의정,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,명예훼손,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,존중,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,특정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,인격,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,자질,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,정말,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,무혐의,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,검찰청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,중인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,전해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,전화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,행감,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,본인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,하라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,최소한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,기한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,위임,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,권한,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,안전,29.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,상윤,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,분과,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,확신,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,전제,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,증거,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,저대로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,정당성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,수가,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,그냥,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,전혀,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,수모,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,주임,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,먼저,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,바탕,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,문제점,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,도리어,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,보완,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,로서,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,등교시간,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,보통,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,첫째,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,위협,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,교권,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,부여,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,법규,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,자세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,결합,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,선진,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,슈퍼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,후문,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,교문,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,원래,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,주로,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,등교,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,그게,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,통학로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),서울장안초등학교장 탁현주,그대로,2.0
