회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,광진,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,교육지원청,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,교육장,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,김종화,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,압구정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,대략,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,기억,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,의도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,아마,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,나름,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,휴교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,북관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,거기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,먼저,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,그다음,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,배경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,폐쇄하,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,하여튼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,상의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,말씀,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,드릴,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,정문,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,통행,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,교내,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,가면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,교차,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,등교,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,안전,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,위험성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,수가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,교직원,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,주로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,주차장,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,한계,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,통감,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,송구,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,주시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성동광진교육지원청교육장 김종화,광진교,1.0
