회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,성북,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,강북,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,교육지원청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,교육장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,나용,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,주입,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,가격,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,서하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,충족,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,그다음,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,차로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,거지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,보통,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,부모님,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,거기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,글쎄요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,말씀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,그게,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,특정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),성북강북교육지원청교육장 나용주,우연,1.0
