회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,실국,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,말씀,39.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,첨언,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,금요일,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,연설,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,소외,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,남고,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,축구,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,호흡,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,해산,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,전학,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,가도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,회비,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,선수,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,출전,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,이건,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,직권,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,단호,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,메시지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,부디,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,시오,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,감사,75.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,관실,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,스마트,36.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,세척,45.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,강매,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,비리,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,요지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,교육지원청,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,영양사,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),여명 위원,실장,1.0
