회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,유아교육,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,필순,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,결재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,라인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,통학버스,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,교육부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,말씀,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,실행,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,관점,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,정리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,예산,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,추후,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,대당,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,소요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,케어,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,맞벌이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,부부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,학부모,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,라면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,그다음,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,한번,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,부석,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,프로젝트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,답변,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,감사,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,거나,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,거기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,서류,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,점수,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,정량,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,배정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,하원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,언덕,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,필요성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,잡고,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,이내,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육과장 오필순,반경,1.0
