회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,유아교육,37.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,진흥,23.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,미애,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,비롯,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,불구,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,격려,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,조언,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,감사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,말씀,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,더욱,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,순서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,과로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,예산,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,부서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,인건비,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),유아교육진흥원장 권미애,부추,1.0
