회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,선서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,본인,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,지방자치법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,소관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,사무,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,감사,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,양심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,보탬,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,그대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,거짓,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,위증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,맹세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,정독,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,장석윤,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,평소,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,조언,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,주시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,부위,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,최미연,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,강남,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,김선,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,강동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,이명,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,강서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,박정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,개포,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정독도서관장 장석윤,정숙희,1.0
