회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,안전,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,민호,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,말씀,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,슬림화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,주요한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,삼고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,역청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,형태,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,조희연,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,연초,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,통계,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,흐름,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정책·안전기획관 한민호,이해해,1.0
