회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,조상호,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,장안,27.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,사태,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,폐쇄해,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,권한,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,그거,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,위임,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,정문,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,무시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,구심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,그다음,51.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,병주,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,검찰조사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,무혐의,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,잘못,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,고소,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,배임,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,태만,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,검찰,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,귀감,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,임의,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,법적,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,수회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,연가,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,가야,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,출장,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,가요,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,계모임,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,비도,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),조상호 위원,달라,12.0
