회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,중등교육,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,이화성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,배수,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,이상은,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,차도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,보지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,긍정,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,립법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,현저,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,대폭,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,사립학교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,편입,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,시행일,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,말씀,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,이분,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,그거,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,거기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,불합격,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,초기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,아마,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,건데,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,교육과정,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,고시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,그다음,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,자격증,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,분만,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,지리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,역사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,소지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,단시간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중등교육과장 이화성,감사,1.0
