회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,박은경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,뿌리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,교육부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,자치구,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,컨소시엄,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,결합,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,질적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,자질,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,문체부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,비롯,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,차이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,주로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,그다음,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,보시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,심리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,정서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,생태,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,분류,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,독서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,공예,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,미술,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,계열,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,기타로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,창작,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,요즘,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,교육과정,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,별로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,아예,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,반응,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,교재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,발간,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,지역별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,구별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,로서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,말씀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,복지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,부서,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,노사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,관인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,차로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,이분,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,직종,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),참여협력담당관 박은경,답변,1.0
