회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,조용훈,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,그게,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,차이,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,전학,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,게임,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,한해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,얘기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,특기,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,배정,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,부모님,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,임의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,회비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,남고,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,최대한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,아마,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,감사,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,축구,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,불구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,말씀,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,축구선수,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,라면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,실력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,장학,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),체육건강문화예술과장 조용훈,선수,4.0
