회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,금천구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,일관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,역설,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,논쟁,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,먼저,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,개진,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,낙인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,얘기,40.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,임의,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,초등학교,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,객관,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,지표,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,계시,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,말미,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,오해,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,설득,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,척도,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,상당,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,일제고사,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,이건,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,간지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,경쟁력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,말씀,90.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,한글,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,사칙연산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),최기찬 위원,벌써,2.0
