회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,평생교육,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,엄동,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,환입,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,감사,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,이용자,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,행안부,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,직접,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,비대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,서로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,거주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,연동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,오픈,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,유통,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,거기,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,교보,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,참고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,전자책,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,편의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,폐쇄조치,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,현금,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,문제점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,소명,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,국토부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,거래,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,금년,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,형성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,여하튼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,모욕,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,용인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생교육과장 엄동환,부서,2.0
