회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,안녕하십니까,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,보건,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,사무관,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,최인,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,수입,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,답변,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,모텔,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,자로,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,영업,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,그게,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,부모님,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,여관,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,업종,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,학부모,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,저해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,업소,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,유예,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,전하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,거나,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,전업,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,하든,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,정화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,구역,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,가든,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,주지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,치도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,사유재산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,분위기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,절대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,통학로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,한해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,아마,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,해제,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,환경보호,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,단속,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,해치,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,유도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,전단지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,한계,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,사법권,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,풍문여고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,옥형,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,호텔,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,불가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,과반,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,그거,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,소가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국보건사무관 최인수,보류,2.0
