회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,평생,38.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,백정,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,장인,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,김경,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,인구,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,소관,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,간부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,엄동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,평생교육,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,정영철,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,조용훈,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,예산,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,생략,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,부서,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,먼저,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,활성화,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,건전,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,일요,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,휴무,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,학교폭력,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,특수교육,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,공존,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,상생,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,학과,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,인성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,감수성,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,함양,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,악기,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,나눔,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,공기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,정화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,친환경,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,무상급식,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,불구,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,교육지원청,19.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,특성화고,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,질적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,한계,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,대하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,지자체,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,교육활동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,학습자,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,정규,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,소외,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,계층,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장 백정흠,문해,1.0
