회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,기부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,한미라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,장학,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,동명,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,초등학교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,개관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,중간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,시적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,보통,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,명의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,거기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,마찬가지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,그다음,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,파견,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,나름,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,용역,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,교육과정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,부적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,그거,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,악기,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,나눔,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,수리,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,번영,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,조합,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,형태,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,결재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,배송,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,유통,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,보관,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,나머지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,상가,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,별로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,결제,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,단가,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,듣기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,어쨌든,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,낙원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,공비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,책정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,산정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,폐기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,배송비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,지출,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),평생진로교육국장학관 한미라,정리,1.0
