회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,보건,30.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,진흥,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,박상근,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,대하,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,매우,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,예산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,참고,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,먼저,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,정신건강,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,증진,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,매년,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,정서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,치료,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,보강,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,정신,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,학교생활,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,급식,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,안전성,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,접촉,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,표면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,미생물,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,개교,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,안전,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,검증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,식중독,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,위생,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,실화,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,도모,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,미신,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,팀별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,역점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,미세먼지,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,전문성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,산학,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,감염병,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,흡연,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,포털사이트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,주간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,소식지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,연보,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,소득,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,심장질환,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,시력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,수술,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,금연,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,효율,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,수행,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,원단,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,교내,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,실내,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,기질,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,표본,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,면적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,측정,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,대응,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,교직원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,포털,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,물가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,동향,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,가격,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,공함,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,개별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,무량,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,주의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,문자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,발송,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,각심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,고취,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,성검사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,방사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,정밀검사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,증축,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,설비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,품질,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,먹거리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,농수산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,유통,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,친환경,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,납품,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,학부모,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,습관,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,교정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,캠프,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,영양,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,식생활,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,전문의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,소아,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,비만,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,재해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,종사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,위촉,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교보건진흥원장 박상근,근로,1.0
