회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,서울특별시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,안전,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,공제,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,김범준,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,진흥,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,벤치마킹,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,법률,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,보상,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,비교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,치료,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,일본,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,위자료,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,성격,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,분쟁,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,생활관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,보험,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,서도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,공제사업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,매뉴얼,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,그냥,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,일원화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,상해,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,별로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,안구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,도식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,해석,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,번역,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,어감,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,초동,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,촬영,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,수집,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,놨는데,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,요코하마,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,포괄,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,사후,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,가천대,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회기획조정팀장 김범준,개괄,1.0
