회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,안전,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,무국,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,여신,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,불법,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,유사,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,사단법인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,허가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,금융업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,측면,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,불법행위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,비교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,직접,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,수합,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,영업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,나중,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,법적,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,재판,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,피고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,무죄,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,형사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,만큼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,검찰,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,항소,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,거기,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회사무국장 윤여신,아침,1.0
