회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,안전,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,공제,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,김형,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,보상,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,공제사업,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,고요,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,말씀,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,기금,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,직성,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,경비,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,지출,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,인건비,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,상비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,재작년,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,교육부,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,고시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,측면,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,그다음,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,법률,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,의학,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,발달,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,폭발,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,부위,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,중요성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,금액,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,지름길,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,불구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,전도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,아주,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,로서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교안전공제회이사장 김형배,전적,2.0
