회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,이병호,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,사립학교,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,결산,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,수익,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,한계,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,교육부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,말씀,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,법정,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,납부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,달라,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,수입,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,전혀,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,최소한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,실질,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,불구,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,사학법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,발굴,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,외부,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,개인정보보호법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,부감,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,상의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,이따,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,중등교육,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,고시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,준용,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,문제점,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,그대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,드릴,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,주시,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학교지원과장 이병호,용역,5.0
