회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,이정순,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,부위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,비롯,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,모시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,감사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,고견,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,매우,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,생략,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,실적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,활성화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,증진,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,도모,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,스포츠클럽,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,교직원,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,친목,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,체육대회,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,교사,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,전문성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,신장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),학생체육관장 이정순,자발,1.0
