회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,역청,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,직속,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,그거,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,한번,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,법적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,임의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,그게,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,아마,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,법령,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,조례,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,상세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,정식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,공포,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,중첩,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),행정관리담당관 김중락,일괄,1.0
