회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,말씀,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,감사,50.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,잘못,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,조심,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,사립학교법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,요건,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,개입,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,법원,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,패소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,아주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,벌이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,전혀,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,흔적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,형태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,서류,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,그다음,15.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,거나,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,제대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,지체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,부서,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,비정상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,사립학교,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,매우,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,고요,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,도저히,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,찾기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,나머지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,정리,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,서면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,미리,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,주로,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,예산,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,회계,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,복무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,거기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,사법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,권한,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,대적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,기도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,파트,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,자발,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,지원청,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,이기,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,수정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,비리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,거지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,실수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,영세,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,취약,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,그냥,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,능사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,이분,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,전적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,공교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,안착,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,일조,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,일찍,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,유아교육,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,학부모,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),감사관 이민종,교육과정,1.0
