회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,선서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,본인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,서울특별시,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,지방자치법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,소관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,감사,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,양심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,보탬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,그대로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,거짓,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,위증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,맹세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,전시관,24.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,관장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,이화성,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,평소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,해주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,부위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,연혁,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,남산,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,관악구,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,개관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,직제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,분관,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,낙성대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,본관,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,실험,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,천문대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,생태,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,체험학습,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,중랑구,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,구로구,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),과학전시관장 이화성,예산,8.0
