회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,선서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,본인,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,서울특별시,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,지방자치법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,소관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,사무,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,감사,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,양심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,보탬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,거짓,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,위증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,맹세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,조희연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,의정,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,불구,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김용연,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,부위,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,병주,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,비롯,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,고견,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,매우,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,말씀,48.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,앞서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,배석,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,간부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,소개,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김영철,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,성연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,정실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,강연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,백정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,평생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,손영순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,교육행정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,현석,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,이민,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,이길환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,무과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,안전,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,엄동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,예산,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김중락,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,허일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,노사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,영식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,필순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,유아교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,최규애,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,초등교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,효선,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,중등교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김덕희,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,평생교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,윤여복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,조복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,조용훈,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,최성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김정애,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,교육재정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,김재환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,해이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,중반,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,반환,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,가시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,보이지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,잠재,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,누적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,발자취,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육감 조희연,가늠,1.0
