회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,선서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,본인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,서울특별시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,지방자치법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,소관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,양심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,보탬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,거짓,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,위증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,맹세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,본부장,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,조장,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,평소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,부위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,비롯,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,모시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,보고서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,유인물,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,안전,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설관리본부장 조장래,청렴,1.0
