회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,양해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,안전,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,김재환,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,사립학교,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,그다음,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,증축,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,식당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,급식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,강당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,예산,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,이상인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,진흥,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,거치,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,교육행정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,소관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,금년,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,사립학교법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,거나,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,거기,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,계약법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,준용,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,역청,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,나머지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,시공,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,감사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,지원이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,무대,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,경사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,법적,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,장애인,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,편의,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,충족,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,긍정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,포괄,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,형태,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,지장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,동감,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,효율,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,매년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,적지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,풀기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,미국,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,대사관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,높이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,불구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,요즘,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,유행,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,오피스,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,평면,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,중정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,햇빛,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,감안,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,면적,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,차지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,당선,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,교육부,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,중투,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,고수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,도저히,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,수가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,실랑이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,이기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,어차피,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,스마트,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,서나,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,칸막이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,최대한,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,클라우드,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,개념,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,접속,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,코로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,이월,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육시설안전과장 김재환,문제점,1.0
