회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,정보원,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,유원,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,부임,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,원초,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,차안,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,행관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,답변,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,예산,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,먼저,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,말씀,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,전산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,절대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,도달,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,서버,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,네트워크,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,보안,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,장비,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,기반시설,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,아주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,대규모,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,당면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,모델링,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,축하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,어서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,면진,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,원래,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,기한,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,매년,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,데스크톱,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,순차,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,노후,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,권장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,연식,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,조사해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,절약,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,모니터,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,한번,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,보완,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,가면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,제대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,추후,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,직속,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,고요,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,영문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,그게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,배너,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,연결,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,링크,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,다문화,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,보지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,메뉴,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연구정보원장 임유원,부서,1.0
