회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,서울특별시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,형세,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,선도,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,배움터,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,해주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,부위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,비롯,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,모시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,감사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,책자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,참고,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,먼저,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,과로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,전문직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,명의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,방배동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,본원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,서초,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교직원,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,전문성,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,신장,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,예산,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,추경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,통한,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,감액,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,배정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,예산현,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,코로나,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,밀접,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,접촉,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,집합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,축소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,비대,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,인프라,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,수생,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,콘텐츠,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,스마트,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,효율,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교육행정,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,생애,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,주기,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,안착,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,보고서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,함양,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,나눔,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,배움,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,잠재력,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,가능성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,글로벌,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,외국어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,사태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,온라인,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,급변,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,능동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,연수로,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,리더십,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,전과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,리더,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,대응,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교육과정,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,리터,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,러시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,원격,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,코칭,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,자율,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,공존,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,보편,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,합리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,의사결정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,역사교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,감수성,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,정세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,안전교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,안전,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,존중,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,학생인권,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,증진,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,조성하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,배려,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,독서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,인문,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,활성화,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,인성,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,인문학,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,성찰,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,치유,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교권,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,충전,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,동기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,부여,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,로서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,기별,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,임용,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교사,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,직급,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,경력,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,필수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,관리자,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,어울림,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,교육활동,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,공무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,학부모,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,자발,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,편리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,실화,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,정규,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,무직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,확립,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,풀제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,원어민,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육연수원장 송형세,영어,2.0
