회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,교육재정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,김정애,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,보증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,부서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,역청,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,금액,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,회계,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,물가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,예산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,증액,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,비례,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육재정과장 김정애,말씀,1.0
