회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,존경,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,부위,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,서울특별시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,강연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,주시,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,고견,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,더욱,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,앞서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,간부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,소개,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,양영식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,유아교육,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,필순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,초등교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,최규애,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,중등교육,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,효선,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,먼저,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,보고서,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,전문직,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,부서,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,참고,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,예산,15.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,추가경정예산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,증액,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,예산현,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,코로나,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,선제,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,대응,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,실화,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,통한,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,도로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,자율,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,운영체제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,지향,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,정립,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,유동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,능동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,함양,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,책무,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,구현,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육정책국장 강연흥,인프라,2.0
