회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교육행정,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,손영순,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,금액,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,수의계약,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,그다음,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,입찰,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,유찰,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,예외,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,조항,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,거기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,말씀,149.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,김용연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,부위,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,매우,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,앞서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,소개,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,최성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,김정애,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교육재정,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,김재환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,안전,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,부서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,참고,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,예산,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,예산현,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,사립학교,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,결함,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,개축,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,부내,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,먼저,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,과부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,개교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,모델,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,투명,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교특,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,회계,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,결산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,멘토링,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,효율,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,고하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,고자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,노후,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,스마트,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,그린,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,한국판,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,뉴딜,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,소관,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,대응,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,통폐합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,원금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,중기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,격차,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,완화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,균형,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,배정,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,수의,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,배정인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,축소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,이해도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,학부모,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,온라인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,하이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,인포,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,매뉴얼,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,책무,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,정관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,이사회,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,행정지도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,선임,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,학교법인,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,정상화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,교비,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육행정국장 손영순,반복,1.0
