회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,부석,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,말씀,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,보충,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,나이스,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,목록,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,경기도,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,초등학교,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,한해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,별로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,교재,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,로서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,보통,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,교과서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,해석,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),교육혁신과장 양영식,조언,1.0
