회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,실장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,성연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,부위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,비롯,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,금일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,간부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,직속,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,소개,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,강연,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,현석,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,이민,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,감사,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,이길환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,무과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,안전,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,엄동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,예산,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,김중락,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,허일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,노사,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,필순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,유아교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,유원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,정보원,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,서울특별시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,평소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,배정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,기억,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,융통성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,코로나,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,사태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),기획조정실장 권성연,경비,10.0
