회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,김상진,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,교육부,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,위상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,어린이집,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,보건복지부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,성격,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,정립,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,말씀,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,대개,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,얼추,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,공교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,며칠,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,전인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,장님,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,모시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,면담,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,안일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,박용진,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,의원님,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,정성,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,투명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,실질,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,불만,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),김상진 위원,급식,4.0
