회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,동대문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,중간,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,나이스,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,입력,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,권한,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,달리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,서로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,의사소통,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,문제점,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,행망,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,보건,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,양쪽,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,군데,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,케이스,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동대문도서관장 오세규,아마,1.0
