회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,동작,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,관악,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,교육지원청,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,교육장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,형사,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,원고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,고요,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,손해배상,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,변론,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,서로,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,승산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,거기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,원래,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,공법,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,임의,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,그다음,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,흙막이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,얘기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,토질,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,일어나고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,진상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,시공,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,보고서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,감리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,준수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,용어,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,답변,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,유의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,정식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,법무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,변호사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,고용,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,대응,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,연결,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,판결,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,그게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,건축법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,심리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,중이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,참고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,한번,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,영광,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,다주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,택사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,옹벽,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,의사소통,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,말씀,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,자주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,대략,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,청장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,경비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,보조금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,가용,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,예산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),동작관악교육지원청장 최춘옥,코로나,1.0
