회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,국악중,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,말씀,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,뭔가,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,법령,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,교과목,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,생태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,한번,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,결합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,얘기,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,관습,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,관행,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,접근,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,제로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,베이스,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,항상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,코로나,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,매년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,과감,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,양해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,답변,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,사립학교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,불구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,투명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,높이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,그다음,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,운영체계,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,지점,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,그게,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,반응,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,예의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,사립학교법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,동력,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,개념,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,매제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,진짜,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,거듭,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,최대한,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,거기,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,편입,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,초등학교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,제법,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,가까이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,자주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,장님,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,애로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,경청,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,자세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,예산,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,파업,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,직접,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,교육부,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,입법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,온종일,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,요지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,여가부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,복지부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,총괄,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,총리실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,일제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,분과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,시간제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,교원단체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,보육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,나름,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,전문성,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,존중,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,노정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,아마,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,하리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,구성원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,보건복지부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,제각각,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,국가공무원,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,분류,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,성격,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,이기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,서로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,듭니,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,글쎄,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,직답,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,책임감,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,크게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,동요,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,표현,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,이해해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,급식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,기억,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,사회보장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,듣기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,교복,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,문호,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,다해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,진실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,광고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,간지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,과외,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,전공,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,전적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,네트워크,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,협업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,문자,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,수경,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,임용,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,관실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,품위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,의결,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,불문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,서울특별시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,대하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,재심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,청구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,기각,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,결격,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,승진,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,후보자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,순위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,특성화고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,메리트,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,고등학생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,장려,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,금도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,중소기업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,재직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,장학금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,워낙,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,실습,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부교육감 김영철,제대로,1.0
