회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,이호,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,수고,16.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,인구,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,김수,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,의석,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,정돈,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,감사,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,이동현,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,권순선,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,말씀,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,먼저,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,아주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,손해배상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,고스,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,행정감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,답변,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,시오,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,교육행정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,안전,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,공제,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,소관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,사무,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,금일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,진심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,건의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,문제해결,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,서울특별시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,목요일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,회의실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,수감,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,참고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,종료,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,선포,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,산회,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,의치,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,이의,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,병주,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,부위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,이석주,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,양민,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,중식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,계시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),부위원장 김용연,김생,2.0
