회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,선서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,본인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,서울특별시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,지방자치법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,소관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,양심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,보탬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,거짓,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,위증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,맹세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,북부,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,교육지원청,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,교육장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,호규,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,간담,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,팩트,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,말씀,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,초등학교,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,그다음,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,후자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,전문직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,장학,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,거기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,체험학습,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,종류,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),북부교육지원청장 조호규,저녁,1.0
