회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,양민,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,그다음,20.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,보건,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,실의,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,용품,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,선거구,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,존경,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,김생,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,말씀,86.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,약자,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,아주,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,월급,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,사무,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,사가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,대략,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,무직,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,비정규직,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,직종,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,시적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,출근,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,무사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,달리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,감사,15.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,취급,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,봉제,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,정규직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,간담,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,문재인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,서도,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,노동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,불구,26.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,결단,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,답변,34.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,종강,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,보시,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,비리,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,매년,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,회기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,동일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,애초,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,측면,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,탄생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,오늘날,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,인척,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,족벌,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,양반,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,취직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,구심,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,만듭니,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,추세,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,기억,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,농산물,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,꾸러미,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,직접,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,상관관계,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,친환경,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,당사자,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,학부모,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,디테일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,얘기,43.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,농약,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,산화,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,보관,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,냉장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,그냥,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,부모님,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,아쉬움,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,양해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,영등포,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,유아교육,29.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,진흥,22.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,유아교육법,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,그대로,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,교직원,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,직급,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,국감,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,수가,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,일치,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,가요,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,드릴,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,구관,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,구사,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,파견,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,교사,31.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,이건,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,공익,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,행감,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,위증죄,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,군데,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,여하튼,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,경기도,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,예산,55.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,존재,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,비교,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,상위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,교육부,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,맏형,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,격인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,변명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,논리,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,이기,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,효율,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,배치도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,토털,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,관리자,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,차지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,승진,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,적체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,중임,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,꼼수,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,조항,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,연구기관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,교재,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,원금,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),양민규 위원,먼저,5.0
