회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,의석,19.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,정돈,19.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,존경,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,안녕하십니까,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,의정,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,노고,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,조희연,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,비롯,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,서도,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,사무,87.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,감사,207.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,수감,20.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,수고,146.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,정례,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,교육지원청,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,정보원,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,예산안,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,조례,15.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,효율,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,청과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,별로,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,지방자치법,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,서울특별시,29.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,총무,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,정실,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,앞서,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,말씀,40.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,교육행정,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,로서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,지향,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,구현,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,위함,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),위원장 최기찬,대하,5.0
