회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,유아교육,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,과중,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,회계,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,직접,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,수행,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,고용,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,임해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,위촉,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,입력,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,인적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,이기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,지식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,컨설팅하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,옛날,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,한번,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,매뉴얼,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,축소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,약화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,측정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,일률,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,통제,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,물가상승률,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,교육부,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,차이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,그게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,승률,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,그다음,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,책정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,달라,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,어쨌든,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,사정,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,건의,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,코로나,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,꾸러미,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,집콕,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,드라이브스루,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,필순,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,말씀,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,경력,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,기하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,고자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,외부,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,퇴임,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,원로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,교사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,이동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,장님,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,예측,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,풀이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,모시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,겸임,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,자로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,노일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,모제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,부득이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,정혜,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,다해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,고요,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,원거리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,희망이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,천재지변,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,덕분,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,거기,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,안전,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,관리자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,로서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,객관,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,내기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,답변,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,무상교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,학부모,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,수익,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육과장 오필순,급식,7.0
