회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,안녕하십니까,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,서울특별시,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,유아교육,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,진흥,32.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,부위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,모시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,매우,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,감사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,말씀,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,더욱,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,순서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,과로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,전문직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,파견,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,교사,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,예산,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,부서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,인건비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,부추,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,진실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,대하,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,먼저,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,사상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,초유,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,코로나,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,맞이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,학부모,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,청과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,협업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,안전,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,통한,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,접근성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,집합,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,온라인,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,클래스,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,형태,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,휴업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,교육과정,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,공백,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,집콕,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,탑재,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,꾸러미,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,교육지원청,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,원단,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,콘텐츠,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,실적,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,별로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,생애,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,기별,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,자율,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),유아교육진흥원장 강경숙,교직,1.0
