회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,이동현,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,고생,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,기자간담회,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,원금,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,배경,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,결단,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,것입,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,깊이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,환영,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,바고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,의원님,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,청장,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,복지,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,일종,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,존중,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,불구,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,컨트롤,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,타워,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,보이지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,에너지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,소비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,적기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,비축,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,간담,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,독서,22.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,초등학교,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,주로,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,덕분,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,놀이터,24.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,가기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,계시,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,대다수,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,아예,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,자원봉사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,학부모,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,일시,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,조례,16.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,사서,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,청도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,마찬가지,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,특정,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,코로나,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,로서,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,부진,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,어른,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,항상,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,더욱,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,서도,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,방역,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,보이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,무직,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,말씀,110.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,거기,19.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,회도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,부모님,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,주시,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,정리,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,고요,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,사무,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,감사,33.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,장님,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,성동구,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,먼저,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,한번,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,해주시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,방금,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,거지,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,등교,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,며칠,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,알파,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,추측,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,전자기기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,문서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,태블릿,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,라든지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,원격교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,예측,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,낙타,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,모양,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,것일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,분할,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,각별,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,단순,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,충족,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,예산,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,다기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,지난번,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,활성화,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,습관,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,활자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,본인,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,용기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,어구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,교사,15.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,직렬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,접근,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이동현 위원,의도,3.0
