회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,이석주,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,조희연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,감사,24.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,페이지,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,지원청,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,전화,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,금년,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,국민신문고,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,산출,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,매우,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,불만족,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,만만,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,치가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,점수,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,글쎄,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,고생,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,노고,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,분발,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,십사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,말씀,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,화친,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,절도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,교육문제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,직결,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,얘기,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,과도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,아주,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,이미지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,순간,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,한번,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,김수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,계약법,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,대답,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,아무나,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,언뜻,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,보지,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,그냥,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,건데,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,수의계약,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,보통,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,물품,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,용역,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,나라장터,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,그다음,19.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,장애인,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,액수,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,워낙,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,페이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,한참,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,깨알,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,글씨,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,나중,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,차지,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,상식,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,도저히,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,예외,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,수가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,부서,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,경유,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,달라,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,전해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,연일,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,강연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이석주 위원,난생,1.0
