회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,국정감사,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,답변,26.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,정리,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,민주당,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,구로,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,선거구,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,이호,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,사무,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,감사,39.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,주시,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,얘기,85.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,조희연,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,말씀,43.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,비자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,산적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,상속,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,통로,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,정의,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,차등,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,복지,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,완수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,신념,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,국감,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,초등학교,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,등교,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,수가,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,차이,20.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,비교,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,격차,21.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,계시,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,벌써,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,양산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,안전,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,측면,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,고요,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,표현,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,비서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,금방,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,소득,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,여유,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,등록금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,부모,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,불평등,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,정반대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,손해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,코로나,18.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,양극화,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,학부모,23.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,통화,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,온라인수업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,취약,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,계층,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,거기,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,플러스,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,접근성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,무선,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,공유기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,한계,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,사교육,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,케어,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,맞벌이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,부부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,한부모,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,염려,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,교육부,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,국교,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,학술,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,정보원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,교사,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,심화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,사설,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,지적도,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,공교육,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,본인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,어른,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,불구,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,여론조사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,체감,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,아쉬움,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,마찬가지,20.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,반복,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,이월,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,저조,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,축의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,노후,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,급식,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,식당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,절기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,예산,43.0
제298회[정례회](2020.11.02 ~ 2020.12.22),이호대 위원,왜곡,3.0
