회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,선서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,본인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,서울특별시,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,지방자치법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,소관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,사무,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,양심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,보탬,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,그대로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,거짓,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,위증,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,맹세,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,정독,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,정해철,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,김용연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,부위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,병주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,장님,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,소개,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,최미연,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,강남,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,김만순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,강동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,이명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,강서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),정독도서관장 정해철,김동순,1.0
