회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,조복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,컨벤션,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,고명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,외식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,거기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,무지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,자주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,말씀,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,코로나,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,실습,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,온라인,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,기계,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,파트,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,제과제빵,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,초순,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,교과목,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,조화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,등교,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,단원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,화해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,서도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,엔지니어링,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,격려,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,존경,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,인구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,지당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,기간산업,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,논리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,접근,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,참고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,특성화고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,마이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,다스,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,아이티,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,영광,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),진로직업교육과장 이조복,모시,1.0
