회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,조용훈,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,특기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,배정,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,중학,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,중입,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,배정은,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,역청,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,관여,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,형태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,고요,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),체육건강문화예술과장 조용훈,직접,1.0
