회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,초등교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,최규애,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,놀이터,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,초등학교,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,안성맞춤,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,교육과정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,일환,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,활성화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,이기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,정합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,그다지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,안배,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,라든지,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,다방면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,부적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,예산,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,차지,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,자릿수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,개교,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,입금,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,정말,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,고요,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,흐름,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,통계,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,금액,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,평생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,자문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,사교육비,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,초등과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,수합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,말씀,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,강구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,도록,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,대면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,상담사,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,직접,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,다중,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,피드백,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,회기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,굿네이버스,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,명당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,대교,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,문화재단,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,지형,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,경계,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,지능,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,풀이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,등교,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,기부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,학부모,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,아주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,인기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,초기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,소문,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,난독,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,도구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,판정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,치료,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,계해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,전혀,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,세밀,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),초등교육과장 최규애,온라인,1.0
