회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,총무,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,이길환,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,국가공무원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,부정행위,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,수험생,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,편의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,건수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,세심,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,금년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,필기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,휴대폰,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,수거,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,화장실,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,보관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,기적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,구성원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,수년,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,교육지원청,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,별로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,평이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,순서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,순위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,가중,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,부여,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,그게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,지수,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,감안,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,세분,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,듭니,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,수의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,할당,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,분배,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,말씀,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,현원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,무과,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,감사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,얘기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,주시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,부서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,답변,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,배수,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,면접,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,뽑기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,음주,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,상위,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,음주운전,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,수위,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,시효,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,아예,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,염두,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),총무과장 이길환,징계처분,1.0
