회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,평생교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,김덕희,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,조례,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,출발,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,자원,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,봉사활동,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,거기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,지방자치단체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,자원봉사,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,행정안전부,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,지적도,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,쇄신,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,단가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,대폭,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,축소,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,명의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,요원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,형태,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,마디,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,정의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,공교육,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,지대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,취약,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,계층,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,격차,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,보완,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,수행,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,일자리,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,부항,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,교통비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생교육과장 김덕희,식비,1.0
