회수,의원명,단어,빈도수
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,평생,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,백정,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,서면,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,간부,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,소개,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,한해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,드릴,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,김덕희,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,평생교육,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,윤여복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,조복,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,조용훈,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,기구,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,물품,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,적기,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,예산,43.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,상의,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,말씀,68.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,치기,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,로라,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,증액,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,필요성,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,용이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,고요,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,금액,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,초과,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,노후,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,화가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,로서,12.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,정말,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,체육회,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,최대한,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,심각,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,다문화,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,코로나,27.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,일시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,스마트,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,직접,14.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,남산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,장님,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,개관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,반복,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,실적,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,군데,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,실내,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,실외,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,용량,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,책자,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대출,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,주간,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,회전,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,자치구,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,공원,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,지하철역,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,종로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,가까이,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,경복궁역,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,마침,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,거기,43.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,경인,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,고속도로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,입구,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,먼저,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,양해,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,구해,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,얘기,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,모레,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,조실,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,무과,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,문의,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,주시,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,사서,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,입법,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,오류,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,상당,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,사무관,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,직렬,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,종류,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,표시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,이기,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,총무,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,답변,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,금요일,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,직제,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,전문직,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,교육행정,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,분류,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,전문성,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,습관,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,한번,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,여지,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,부서,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,매년,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,학교폭력,22.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,법대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,징벌,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,간의,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,다툼,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,학부모,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,비화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,초등학교,9.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,하나로,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,주로,7.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,어울림,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,작동,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,심화,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,자원,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,교육지원청,13.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,단속,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,변명,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,이상은,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,교습,22.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,스터디,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,카페,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,서도,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,휴게,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,음식점,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,보통,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,고대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,별로,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,분당,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,단가,10.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,차이,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,의아,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,임차료,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,물가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,임대료,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,가가,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,강남,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,서초,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,설정,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,보습,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,준용,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,진학,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,계열,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,일대일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,가나,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,계산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,유사,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,한계,5.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,사정,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,거나,8.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,불법,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,사교육,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,특혜,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,경찰청,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,개시,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,마스크,17.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,개학,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대국민,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,수의계약,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,워낙,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,정성,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,시비,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,입찰,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,형식,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,계획량,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,역산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,월요일,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,그냥,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,베트남,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,국내,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,생산,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,유통,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,해외,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,제품,11.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,정량,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,절대,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,점수,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,담합,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,특정,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,우레,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,필터,6.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대고,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,성격,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,샘플,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,그게,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,지체상금,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대란,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,일념,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,의욕,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,대량,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,봉제,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,공장,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,공적,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,의료,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,약품,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,유통업체,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,마찬가지,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,물건,4.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,상이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,응찰,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,거래소,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,연관,2.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,조달,3.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,보이,1.0
제298회[정례회](2020.11.02 ~ 2020.12.22),평생진로교육국장 백정흠,원래,7.0
